"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"Test cases for TestAuth_CreateSSOSession","0","TestAuth_CreateSSOSession","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestAuth_CreateSSOSession","TestAuth_CreateSSOSession"
"Test cases for TestTracker_HasEdge_And_DeletedEdges","0","TestTracker_HasEdge_And_DeletedEdges","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/post/TestTracker_HasEdge_And_DeletedEdges","TestTracker_HasEdge_And_DeletedEdges"
"","13","does not show View in Explore if exploreUrl is not supplied","Seed Selection Results","2026-08-28","passed","2026-08-28","","","",""
"","132","renders object information for an OpenGraph object","Selected Details Tab Content","2026-08-28","passed","2026-08-28","","","",""
"","92","renders details for a selected zone","DynamicDetails","2026-08-28","passed","2026-08-28","","","",""
"","61","fails checks if the user does not have a matching permission","usePermissions","2026-08-28","passed","2026-08-28","","","",""
"","0","should return false when there is no match","compareTerm","2026-08-28","passed","2026-08-28","","","",""
"TestService_checkUserAccessToEnvironments_AllEnvironments covers theshort-circuit branch that is unreachable through CheckUserAccess (becauseshouldFilterForETAC already excludes all-environment users).","0","TestService_checkUserAccessToEnvironments_AllEnvironments","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/etac/internal/services/TestService_checkUserAccessToEnvironments_AllEnvironments","TestService_checkUserAccessToEnvironments_AllEnvironments"
"TestMigrator_GenerateManifestAfterVersion builds upon the GenerateManifest testby starting from different version points and spot checking migration counts.","0","TestMigrator_GenerateManifestAfterVersion","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestMigrator_GenerateManifestAfterVersion","TestMigrator_GenerateManifestAfterVersion"
"","396","renders the Namespace column header with an informational icon","ActiveExtensionsCard","2026-08-28","passed","2026-08-28","","","",""
"","732","should render","CypherSearch","2026-08-28","passed","2026-08-28","","","",""
"","2","rounds down fractional minutes/days","getSimpleDuration","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_ListAuditLogs_SortingError","0","TestResources_ListAuditLogs_SortingError","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_SortingError","TestResources_ListAuditLogs_SortingError"
"","387","clears the applied filter","FileIngestFilterDialog","2026-08-28","passed","2026-08-28","","User Select","",""
"","346","displays a polite message when there are no user updatable features available","EarlyAccessFeatures","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestPreMigrationDaemonsResolvesRetainedFileService","1","TestPreMigrationDaemonsResolvesRetainedFileService","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/TestPreMigrationDaemonsResolvesRetainedFileService","TestPreMigrationDaemonsResolvesRetainedFileService"
"","407","toggles parent from all to none","GraphDataCheckboxes","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_GetEdgeComposition","25","TestResources_GetEdgeComposition","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeComposition","TestResources_GetEdgeComposition"
"Test cases for TestNewRewriter","0","TestNewRewriter","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestNewRewriter","TestNewRewriter"
"","61","does not enrich non built in node kinds","useGetNodeById","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestRequestWaitDuration_Failure","0","TestRequestWaitDuration_Failure","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration_Failure","TestRequestWaitDuration_Failure"
"Test cases for TestChangeCache","1","TestChangeCache","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestChangeCache","TestChangeCache"
"","9","renders the ZoneSelector when available and on a Zone page","TagSelector","2026-08-28","passed","2026-08-28","","","",""
"","0","returns the known info map values for a known type (Active Directory)","getOpenGraphEnvironmentInfo","2026-08-28","passed","2026-08-28","","","",""
"","3","does not put assertive messages in the polite region","AnnouncementProvider","2026-08-28","passed","2026-08-28","","","",""
